"full_name","province_or_state","district_id","gender","career","type","election_date","year","exit_year","party_id","legislature_id","Lstart_date","Lend_date","other_names","country_id","institution_id"
"andre boisclair","QC","pointeauxtrembles","m","business","byelection",2003-04-14,2003,"2007","PQ",37,2003-04-14,2007-02-21,"boisclair","CAN","QCASSNAT"
"andre boisclair","QC","pointeauxtrembles","m","business","election",2007-03-26,2007,"2007","PQ",38,2007-03-26,2008-11-05,"boisclair","CAN","QCASSNAT"
"ghislain bolduc","QC","megantic","m","business","election",2012-09-04,2012,"2018","PLQ",40,2012-09-04,2014-03-05,NA,"CAN","QCASSNAT"
"ghislain bolduc","QC","megantic","m","business","election",2014-04-07,2014,"2018","PLQ",41,2014-04-07,2018-08-23,NA,"CAN","QCASSNAT"
"yves bolduc","QC","jeantalon","m","medicine","byelection",2008-12-08,2008,"2015","PLQ",39,2008-12-08,2012-08-01,"bolduc","CAN","QCASSNAT"
"yves bolduc","QC","jeantalon","m","medicine","election",2008-12-08,2008,"2015","PLQ",39,2008-12-08,2012-08-01,"bolduc","CAN","QCASSNAT"
"yves bolduc","QC","jeantalon","m","medicine","election",2012-09-04,2012,"2015","PLQ",40,2012-09-04,2014-03-05,NA,"CAN","QCASSNAT"
"yves bolduc","QC","jeantalon","m","medicine","election",2014-04-07,2014,"2015","PLQ",41,2014-04-07,2018-08-23,NA,"CAN","QCASSNAT"
"francois bonnardel","QC","shefford","m","business","election",2007-03-26,2007,"NA","ADQ",38,2007-03-26,2008-11-05,"bonnardel","CAN","QCASSNAT"
"francois bonnardel","QC","shefford","m","business","election",2008-12-08,2008,"NA","ADQ",39,2008-12-08,2012-08-01,"bonnardel","CAN","QCASSNAT"
"francois bonnardel","QC","granby","m","business","election",2012-09-04,2012,"NA","CAQ",40,2012-09-04,2014-03-05,"bonnardel","CAN","QCASSNAT"
"francois bonnardel","QC","granby","m","business","election",2014-04-07,2014,"NA","CAQ",41,2014-04-07,2018-08-23,"bonnardel","CAN","QCASSNAT"
"francois bonnardel","QC","granby","m","business","election",2018-10-01,2018,"NA","CAQ",42,2018-10-01,2022-08-28,"bonnardel","CAN","QCASSNAT"
"francois bonnardel","QC","granby","m","business","election",2022-10-03,2022,"NA","CAQ",43,NA,NA,"bonardel ; m.bonarde ; m. bonardel","CAN","QCASSNAT"
"yvan bordeleau","QC","lacadie","m","education","election",1994-09-12,1994,"2007","PLQ",35,1994-09-12,1998-11-25,"bordeleau","CAN","QCASSNAT"
"yvan bordeleau","QC","lacadie","m","education","election",1998-11-30,1998,"2007","PLQ",36,1998-11-30,2003-02-12,"bordeleau","CAN","QCASSNAT"
"yvan bordeleau","QC","lacadie","m","education","election",2003-04-14,2003,"2007","PLQ",37,2003-04-14,2007-02-21,"bordeleau","CAN","QCASSNAT"
"camil bouchard","QC","vachon","m","education","election",2003-04-14,2003,"2010","PQ",37,2003-04-14,2007-02-21,NA,"CAN","QCASSNAT"
"camil bouchard","QC","vachon","m","education","election",2007-03-26,2007,"2010","PQ",38,2007-03-26,2008-11-05,"bouchard","CAN","QCASSNAT"
"camil bouchard","QC","vachon","m","education","election",2008-12-08,2008,"2010","PQ",39,2008-12-08,2012-08-01,"bouchard","CAN","QCASSNAT"
